,Username,Category,Followers,Followees,Posts,Level
2933,klaudiasalvini,fashion,78372.0,1481,714,Mid
2934,awedbymoni,fashion,78345.0,2218,4806,Mid
2935,denny623,fashion,78338.0,1033,3448,Mid
2936,matildesilvestri,fashion,78209.0,6018,2054,Mid
2937,emilynwilkinson,fashion,78112.0,777,2594,Mid
2938,shady.bird,fashion,78067.0,1077,379,Mid
2939,shinyandnew,fashion,78037.0,667,610,Mid
2940,boardroomblonde,fashion,78032.0,630,1111,Mid
2941,jaime_cittadino,fashion,78032.0,1590,1888,Mid
2942,stormthedj,fashion,77989.0,299,931,Mid
2943,bonnierakhit,fashion,77883.0,3372,2595,Mid
2944,monicsutter,fashion,77882.0,1480,4037,Mid
2945,jf_maier,fashion,77868.0,144,355,Mid
2946,xcapewithlinh,fashion,77835.0,591,751,Mid
2947,chanelambrose,fashion,77829.0,410,1090,Mid
2948,loewie8,fashion,77779.0,1252,297,Mid
2949,nehaadhvikmahajan,fashion,77720.0,2381,1267,Mid
2950,karazwaanstra,fashion,77692.0,660,951,Mid
2951,elenabrotons,fashion,77690.0,687,1172,Mid
2952,elyrosechannel,fashion,77665.0,807,2047,Mid
2953,thatmadonnagirl,fashion,77649.0,1182,1015,Mid
2954,kevinelezaj,fashion,77560.0,82,2974,Mid
2955,siramara,fashion,77540.0,1496,7080,Mid
2956,glamabell,fashion,77535.0,1470,1124,Mid
2957,nicoles_outfit_inspirations,fashion,77478.0,1574,1951,Mid
2958,stylefeen,fashion,77415.0,414,1171,Mid
2959,thefashionbum,fashion,77351.0,577,1452,Mid
2960,laurmilena,fashion,77336.0,394,628,Mid
2961,alessandragl,fashion,77286.0,1380,789,Mid
2962,grasiemercedes,fashion,77275.0,1800,4048,Mid
2963,sandeeecheeks,fashion,77174.0,548,312,Mid
2964,_parisiennedeparis_,fashion,77174.0,538,594,Mid
2965,brittsimerson,fashion,77148.0,752,886,Mid
2966,sabrina.bryan,fashion,77086.0,489,890,Mid
2967,karlierae,fashion,77082.0,858,1292,Mid
2968,nansoumou,fashion,77045.0,1143,2284,Mid
2969,madcarolina93,fashion,77035.0,427,1511,Mid
2970,theurbandarling,fashion,77018.0,7498,404,Mid
2971,nancyajramcd,fashion,76985.0,485,3080,Mid
2972,wanderwithmacy,fashion,76857.0,684,537,Mid
2973,naimabegum_,fashion,76833.0,527,248,Mid
2974,robertaferrante__,fashion,76769.0,1647,2598,Mid
2975,guyoverboard,fashion,76730.0,3848,4293,Mid
2976,najlasalome,fashion,76614.0,356,1010,Mid
2977,tr3ndygirl,fashion,76529.0,728,800,Mid
2978,shes_gorjess,fashion,76449.0,1591,777,Mid
2979,lauravalentina1811,fashion,76399.0,176,248,Mid
2980,whosthatgirldana,fashion,76371.0,3498,2820,Mid
2981,samuelgaertner,fashion,76358.0,1765,3752,Mid
2982,marxmae,fashion,76331.0,1624,1698,Mid
2983,gloryblogger,fashion,76315.0,2789,825,Mid
2984,juste_juliette,fashion,76298.0,684,6146,Mid
2985,mariflordarosa,fashion,76256.0,1382,3215,Mid
2986,marynaaksenov,fashion,76210.0,1581,850,Mid
2987,laurengores,fashion,76072.0,1059,2064,Mid
2988,carol.aq,fashion,75919.0,2445,776,Mid
2989,thefashionablybroke,fashion,75825.0,7100,6059,Mid
2990,styleboom,fashion,75800.0,1006,6219,Mid
2991,teresa_vu,fashion,75771.0,1765,1432,Mid
2992,swiishbysallyo,fashion,75747.0,673,3707,Mid
2993,sweetteawithmadi,fashion,75717.0,630,1288,Mid
